sample_ID,project_name,Host-genus,Species,Genotype,Cluster,Fragment_number,Bag_number,Diver_names,Reef_name,geo_loc_name,lat_lon,collection_date,depth,env_biome,env_feature,env_material,env_package
pSN1_139_3_P11-14-18,Persist-Resist,Acropora,palmata,SN1,139,3,1,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_139_5_P11-14-18,Persist-Resist,Acropora,palmata,SN1,139,5,2,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_139_6_P11-14-18,Persist-Resist,Acropora,palmata,SN1,139,6,3,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_134_4_P11-14-18,Persist-Resist,Acropora,palmata,SN1,134,4,4,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_134_5_P11-14-18,Persist-Resist,Acropora,palmata,SN1,134,5,5,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_134_6_P11-14-18,Persist-Resist,Acropora,palmata,SN1,134,6,6,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_130_3_P11-14-18,Persist-Resist,Acropora,palmata,SN1,130,3,7,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_130_5_P11-14-18,Persist-Resist,Acropora,palmata,SN1,130,5,8,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pSN1_130_6_P11-14-18,Persist-Resist,Acropora,palmata,SN1,130,6,9,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pHS1_112_3_P11-14-18,Persist-Resist,Acropora,palmata,HS1,112,3,10,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pHS1_112_4_P11-14-18,Persist-Resist,Acropora,palmata,HS1,112,4,11,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pHS1_112_6_P11-14-18,Persist-Resist,Acropora,palmata,HS1,112,6,12,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
pHS1_108_4_P11-14-18,Persist-Resist,Acropora,palmata,HS1,108,4,13,Ben_Allan,Pickles,USA,,11/14/18,,coral_reef,coral_head,tissue,host-associated
